,Gene,Promoter,CpG_chrm,CpG_beg,CpG_end
0,NOC2L,NOC2L_1,chr1,959245,959305
1,KLHL17,KLHL17_1,chr1,960583,960643
2,PLEKHN1,PLEKHN1_1,chr1,966432,966492
3,PERM1,PERM1_1,chr1,976670,976730
4,HES4,HES4_1,chr1,1000086,1000146
5,ISG15,ISG15_2,chr1,1000461,1000521
6,ISG15,ISG15_1,chr1,1013447,1013507
7,AGRN,AGRN_1,chr1,1020070,1020130
8,TTLL10,TTLL10_1,chr1,1173848,1173908
9,TTLL10,TTLL10_2,chr1,1179638,1179698
10,TNFRSF18,TNFRSF18_1,chr1,1206570,1206630
11,TNFRSF18,TNFRSF18_2,chr1,1206698,1206758
12,TNFRSF4,TNFRSF4_1,chr1,1214142,1214202
13,SDF4,SDF4_1,chr1,1231990,1232050
14,UBE2J2,UBE2J2_1,chr1,1273822,1273882
15,ACAP3,ACAP3_3,chr1,1305928,1305988
16,ACAP3,ACAP3_1,chr1,1307919,1307979
17,PUSL1,PUSL1_2,chr1,1308138,1308198
18,PUSL1,PUSL1_1,chr1,1308547,1308607
19,INTS11,INTS11_1,chr1,1324649,1324709
20,DVL1,DVL1_1,chr1,1349118,1349178
21,MXRA8,MXRA8_1,chr1,1358532,1358592
22,AURKAIP1,AURKAIP1_1,chr1,1375171,1375231
23,AURKAIP1,AURKAIP1_2,chr1,1375488,1375548
24,CCNL2,CCNL2_1,chr1,1399303,1399363
25,MRPL20,MRPL20_1,chr1,1407282,1407342
26,VWA1,VWA1_1,chr1,1435640,1435700
27,ATAD3B,ATAD3B_1,chr1,1471731,1471791
28,ATAD3A,ATAD3A_1,chr1,1512112,1512172
29,SSU72,SSU72_2,chr1,1574593,1574653
30,SSU72,SSU72_1,chr1,1574852,1574912
31,MIB2,MIB2_1,chr1,1615466,1615526
32,MMP23B,MMP23B_1,chr1,1632138,1632198
33,CDK11B,CDK11B_1,chr1,1658961,1659021
34,CDK11B,CDK11B_3,chr1,1659198,1659258
35,SLC35E2B,SLC35E2B_2,chr1,1692496,1692556
36,SLC35E2B,SLC35E2B_4,chr1,1692698,1692758
37,SLC35E2B,SLC35E2B_1,chr1,1692811,1692871
38,CDK11A,CDK11A_1,chr1,1724323,1724383
39,SLC35E2,SLC35E2_2,chr1,1745771,1745831
40,SLC35E2,SLC35E2_1,chr1,1745991,1746051
41,SLC35E2,SLC35E2_3,chr1,1746266,1746326
42,NADK,NADK_2,chr1,1778438,1778498
43,NADK,NADK_3,chr1,1778804,1778864
44,NADK,NADK_1,chr1,1780020,1780080
45,NADK,NADK_4,chr1,1780503,1780563
46,GNB1,GNB1_2,chr1,1890843,1890903
47,GNB1,GNB1_1,chr1,1891059,1891119
48,TMEM52,TMEM52_2,chr1,1918789,1918849
49,TMEM52,TMEM52_1,chr1,1919268,1919328
50,CFAP74,CFAP74_1,chr1,2003775,2003835
51,GABRD,GABRD_1,chr1,2019310,2019370
52,PRKCZ,PRKCZ_1,chr1,2050361,2050421
53,PRKCZ,PRKCZ_4,chr1,2145337,2145397
54,FAAP20,FAAP20_1,chr1,2194761,2194821
55,SKI,SKI_1,chr1,2228639,2228699
56,MORN1,MORN1_1,chr1,2391543,2391603
57,RER1,RER1_1,chr1,2391792,2391852
58,PEX10,PEX10_1,chr1,2412532,2412592
59,PLCH2,PLCH2_1,chr1,2415899,2415959
60,PANK4,PANK4_1,chr1,2526585,2526645
61,HES5,HES5_1,chr1,2530252,2530312
62,TNFRSF14,TNFRSF14_1,chr1,2556321,2556381
63,TNFRSF14,TNFRSF14_2,chr1,2556513,2556573
64,FAM213B,FAM213B_2,chr1,2586473,2586533
65,FAM213B,FAM213B_1,chr1,2586748,2586808
66,MMEL1,MMEL1_2,chr1,2629396,2629456
67,PRDM16,PRDM16_2,chr1,3068660,3068720
68,PRDM16,PRDM16_1,chr1,3069153,3069213
69,MEGF6,MEGF6_1,chr1,3531400,3531460
70,MEGF6,MEGF6_2,chr1,3611485,3611545
71,TPRG1L,TPRG1L_2,chr1,3619568,3619628
72,MEGF6,MEGF6_3,chr1,3624768,3624828
73,TPRG1L,TPRG1L_1,chr1,3624984,3625044
74,WRAP73,WRAP73_1,chr1,3650092,3650152
75,TP73,TP73_1,chr1,3652466,3652526
76,SMIM1,SMIM1_1,chr1,3772605,3772665
77,LRRC47,LRRC47_1,chr1,3796483,3796543
78,CEP104,CEP104_1,chr1,3857200,3857260
79,DFFB,DFFB_2,chr1,3857236,3857296
80,DFFB,DFFB_1,chr1,3857426,3857486
81,C1orf174,C1orf174_1,chr1,3900247,3900307
82,AJAP1,AJAP1_1,chr1,4655162,4655222
83,KCNAB2,KCNAB2_2,chr1,5992374,5992434
84,NPHP4,NPHP4_1,chr1,5992414,5992474
85,KCNAB2,KCNAB2_3,chr1,6025937,6025997
86,KCNAB2,KCNAB2_1,chr1,6026283,6026343
87,CHD5,CHD5_1,chr1,6180113,6180173
88,RPL22,RPL22_1,chr1,6199583,6199643
89,RNF207,RNF207_1,chr1,6206069,6206129
90,ICMT,ICMT_1,chr1,6235953,6236013
91,GPR153,GPR153_1,chr1,6261053,6261113
92,ACOT7,ACOT7_4,chr1,6358918,6358978
93,ACOT7,ACOT7_5,chr1,6360690,6360750
94,ACOT7,ACOT7_1,chr1,6393366,6393426
95,ACOT7,ACOT7_2,chr1,6393756,6393816
96,HES2,HES2_1,chr1,6419908,6419968
97,HES2,HES2_2,chr1,6424670,6424730
98,ESPN,ESPN_1,chr1,6424726,6424786
99,ESPN,ESPN_2,chr1,6448038,6448098
100,ESPN,ESPN_3,chr1,6448441,6448501
101,TNFRSF25,TNFRSF25_1,chr1,6466141,6466201
102,PLEKHG5,PLEKHG5_3,chr1,6485456,6485516
103,PLEKHG5,PLEKHG5_2,chr1,6490569,6490629
104,PLEKHG5,PLEKHG5_1,chr1,6497413,6497473
105,NOL9,NOL9_1,chr1,6554502,6554562
106,ZBTB48,ZBTB48_1,chr1,6579946,6580006
107,KLHL21,KLHL21_3,chr1,6599827,6599887
108,KLHL21,KLHL21_1,chr1,6602858,6602918
109,KLHL21,KLHL21_2,chr1,6603680,6603740
110,PHF13,PHF13_1,chr1,6613705,6613765
111,THAP3,THAP3_2,chr1,6624820,6624880
112,THAP3,THAP3_1,chr1,6625133,6625193
113,DNAJC11,DNAJC11_1,chr1,6701811,6701871
114,CAMTA1,CAMTA1_1,chr1,6785404,6785464
115,VAMP3,VAMP3_1,chr1,7771246,7771306
116,PER3,PER3_1,chr1,7784241,7784301
117,PER3,PER3_3,chr1,7784377,7784437
118,PER3,PER3_2,chr1,7784597,7784657
119,UTS2,UTS2_1,chr1,7913238,7913298
120,TNFRSF9,TNFRSF9_1,chr1,7940826,7940886
121,PARK7,PARK7_2,chr1,7954148,7954208
122,PARK7,PARK7_1,chr1,7961661,7961721
123,ERRFI1,ERRFI1_1,chr1,8026298,8026358
124,RERE,RERE_2,chr1,8423698,8423758
125,RERE,RERE_1,chr1,8817629,8817689
126,RERE,RERE_3,chr1,8817992,8818052
127,ENO1,ENO1_1,chr1,8878675,8878735
128,SLC2A5,SLC2A5_1,chr1,9069624,9069684
129,GPR157,GPR157_1,chr1,9129091,9129151
130,GPR157,GPR157_3,chr1,9182092,9182152
131,GPR157,GPR157_2,chr1,9182286,9182346
132,H6PD,H6PD_1,chr1,9234724,9234784
133,H6PD,H6PD_2,chr1,9239797,9239857
134,SPSB1,SPSB1_1,chr1,9292844,9292904
135,SLC25A33,SLC25A33_1,chr1,9539439,9539499
136,TMEM201,TMEM201_1,chr1,9588861,9588921
137,PIK3CD,PIK3CD_2,chr1,9629970,9630030
138,PIK3CD,PIK3CD_1,chr1,9651681,9651741
